customer_id,customer_name,mobile_number,email,aadhar_last4,pan_last4,registered_address,wallet_balance,outstanding_dues,credit_score,account_status,loan_id,loan_amount,remaining_amount,monthly_emi,next_due_date,loan_status,last_recharge_amount,last_recharge_date,billing_cycle,current_bill_amount,payment_due_date,txn_count_30d,last_txn_date,complaint_id,complaint_status,complaint_created_date
C1000,User_1,9504038314,user1@example.com,9765,4720,City_11,1422.31,3544.18,318,suspended,,0.0,0.0,0.0,,,399,2025-09-07,25,1639.61,2025-11-28,6,2025-09-03,,,
C1001,User_2,9896834956,user2@example.com,6224,2695,City_48,1209.97,4410.87,628,suspended,,0.0,0.0,0.0,,,49,2025-10-19,14,589.48,2025-12-17,7,2025-08-31,,,
C1002,User_3,9302055323,user3@example.com,1409,0913,City_37,1592.48,2713.68,433,suspended,,0.0,0.0,0.0,,,149,2025-11-15,8,55.53,2025-12-18,1,2025-10-15,,,
C1003,User_4,9842683733,user4@example.com,3653,4317,City_27,638.04,982.29,716,suspended,,0.0,0.0,0.0,,,399,2025-11-13,20,1748.39,2025-12-05,8,2025-10-09,,,
C1004,User_5,9074959228,user5@example.com,1150,5979,City_29,963.04,4813.83,440,suspended,,0.0,0.0,0.0,,,49,2025-11-01,18,839.07,2025-12-07,6,2025-10-07,,,
C1005,User_6,9754188596,user6@example.com,3364,8795,City_1,307.08,555.23,532,suspended,L0794005e,20000.0,12082.79,2000.0,2025-12-12,active,399,2025-09-26,15,1825.11,2025-12-01,9,2025-11-15,,,
C1006,User_7,9016877981,user7@example.com,4956,3729,City_19,811.7,4329.03,471,closed,,0.0,0.0,0.0,,,149,2025-09-05,23,371.63,2025-12-02,14,2025-10-22,,,
C1007,User_8,9974463521,user8@example.com,8221,1830,City_17,256.07,1419.59,428,suspended,L6e9e3e5c,15000.0,8904.06,1250.0,2025-12-11,overdue,99,2025-11-15,3,532.08,2025-11-26,4,2025-11-04,,,
C1008,User_9,9708012423,user9@example.com,6064,3037,City_48,1677.34,2046.07,620,closed,,0.0,0.0,0.0,,,199,2025-09-30,2,1269.9,2025-11-19,3,2025-08-31,,,
C1009,User_10,9964203391,user10@example.com,9967,4129,City_24,948.21,1871.45,470,suspended,,0.0,0.0,0.0,,,199,2025-11-03,24,494.38,2025-12-04,15,2025-09-15,,,
C1010,User_11,9724915369,user11@example.com,5946,2189,City_19,1328.33,1851.88,758,closed,L874304c8,25000.0,3597.39,2083.33,2025-12-08,active,499,2025-08-23,21,1958.66,2025-12-12,11,2025-10-07,,,
C1011,User_12,9647095178,user12@example.com,1777,5341,City_46,1079.5,2333.38,519,closed,Ld469899b,10000.0,1444.71,416.67,2025-12-05,overdue,99,2025-08-29,12,481.2,2025-11-23,13,2025-09-20,,,
C1012,User_13,9282740915,user13@example.com,0470,4014,City_42,1687.53,1500.23,641,closed,Le39f7e8b,25000.0,2926.45,4166.67,2025-11-23,active,199,2025-09-01,21,1118.61,2025-11-25,14,2025-08-25,,,
C1013,User_14,9830500290,user14@example.com,0512,5697,City_18,1265.94,943.68,760,active,,0.0,0.0,0.0,,,99,2025-09-25,18,760.03,2025-11-25,11,2025-11-13,,,
C1014,User_15,9109795590,user15@example.com,7228,6610,City_12,1403.06,734.67,428,active,,0.0,0.0,0.0,,,149,2025-08-23,23,1533.08,2025-12-03,11,2025-08-31,,,
C1015,User_16,9735385209,user16@example.com,6494,4427,City_12,1819.13,758.65,639,suspended,L4850a396,5000.0,4030.76,416.67,2025-11-28,active,149,2025-11-05,5,1370.99,2025-11-27,7,2025-09-05,,,
C1016,User_17,9491036574,user17@example.com,2359,4270,City_47,1458.83,972.56,733,closed,,0.0,0.0,0.0,,,399,2025-08-30,7,45.02,2025-12-06,10,2025-11-12,,,
C1017,User_18,9146493139,user18@example.com,2199,9440,City_15,243.76,2486.77,861,suspended,,0.0,0.0,0.0,,,299,2025-10-24,2,813.03,2025-12-16,3,2025-10-05,,,
C1018,User_19,9651316013,user19@example.com,8620,9931,City_5,1890.42,1218.66,421,closed,,0.0,0.0,0.0,,,599,2025-09-04,11,945.42,2025-12-02,0,2025-09-25,,,
C1019,User_20,9753959615,user20@example.com,7611,1769,City_20,1963.28,4121.02,318,suspended,Le3cd2032,20000.0,15981.49,555.56,2025-12-02,active,199,2025-09-04,26,1465.22,2025-12-10,11,2025-10-14,,,
C1020,User_21,9073787795,user21@example.com,3401,7796,City_11,1785.56,4426.59,763,closed,,0.0,0.0,0.0,,,199,2025-09-12,3,76.16,2025-12-07,8,2025-10-16,,,
C1021,User_22,9709599435,user22@example.com,1728,2859,City_21,1618.46,2918.81,470,suspended,,0.0,0.0,0.0,,,499,2025-09-23,12,1357.09,2025-12-14,2,2025-10-26,,,
C1022,User_23,9135277670,user23@example.com,2045,4976,City_17,236.53,4289.07,791,closed,Lcec28198,20000.0,16387.87,555.56,2025-12-02,active,99,2025-09-30,28,1237.22,2025-12-18,15,2025-11-16,,,
C1023,User_24,9441000339,user24@example.com,8157,3589,City_20,518.77,3031.81,636,active,,0.0,0.0,0.0,,,49,2025-08-24,6,234.13,2025-12-04,4,2025-09-12,,,
